,Wines,Points
0,2017 Chateau Mouton Rothschild,95 
1,2017 Petrus,96 
2,2017 Chateau Haut-Brion,95 
3,2017 Chateau Lynch-Bages,93 
4,2017 Chateau Cheval Blanc,95 
5,2017 Chateau Pichon Longueville Comtesse de Lalande,95 
6,2017 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95 
7,2017 Chateau Montrose,94 
8,2017 Chateau Palmer,95 
9,2017 Chateau Ducru-Beaucaillou,95 
10,2017 Chateau Leoville Poyferre,94 
11,2017 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 
12,2017 Chateau La Mission Haut-Brion,95 
13,2017 Chateau Leoville Barton,94 
14,2017 Chateau Figeac,95 
15,2017 Chateau Talbot,91 
16,2017 Chateau Calon-Segur,94 
17,2017 Chateau Lafleur,97 
18,2017 Chateau Ausone,95 
19,2017 Vieux Chateau Certan,96 
20,2017 Chateau Canon,94 
21,2017 Chateau Gruaud-Larose,92 
22,2017 Chateau Rauzan-Segla,93 
23,2017 Chateau Giscours,92 
24,2017 Chateau Beychevelle,93 
25,2017 Chateau Grand-Puy-Lacoste,92 
26,2017 Chateau Duhart-Milon,91 
27,2017 Chateau Troplong Mondot,93 
28,2017 Chateau La Fleur-Petrus,94 
29,2017 Domaine de Chevalier,93 
30,2017 Chateau La Conseillante,94 
31,2017 Baron Philippe de Rothschild Chateau d'Armailhac,91 
32,2017 Chateau Brane-Cantenac,92 
33,2017 Chateau Clinet,92 
34,2017 Chateau Haut-Bailly,94 
35,2017 Chateau Trotanoy,95 
36,2017 Chateau Clerc-Milon,92 
37,2017 Chateau d'Issan,91 
38,2017 Chateau Sociando-Mallet,90 
39,2017 Chateau Gloria,90 
40,2017 Chateau Phelan Segur,91 
41,2017 Chateau Gazin Pomerol,91 
42,2017 Chateau Canon la Gaffeliere,93 
43,2017 Chateau Les Carmes Haut-Brion,94 
44,2017 Chateau Lafon-Rochet,91 
45,2017 Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve',91 
46,2017 Chateau Chasse-Spleen,88 
47,2017 Chateau Leoville-Las Cases 'Clos du Marquis',92 
48,2017 Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion,91 
49,2017 Chateau Latour Le Pauillac de Latour,90 
50,Chateau Mouton Rothschild,96 
51,Chateau Lafite Rothschild,95 
52,Petrus,96 
53,Chateau Margaux,96 
54,Chateau Latour,96 
55,Chateau Haut-Brion,96 
56,Chateau d'Yquem,96 
57,Chateau Pontet-Canet,95 
58,Chateau Lynch-Bages,93 
59,Chateau Cheval Blanc,95 
60,Chateau Pichon Longueville Comtesse de Lalande,94 
61,2018 Chateau Margaux,97 
62,2018 Chateau d'Yquem,96 
63,2018 Chateau Lynch-Bages,95 
64,2018 Chateau Pichon Longueville Comtesse de Lalande,96 
65,2018 Chateau Cos d'Estournel,96 
66,2018 Chateau Leoville-Las Cases 'Grand Vin de Leoville',97 
67,2018 Chateau Montrose,96 
68,2018 Chateau Palmer,96 
69,2018 Chateau Ducru-Beaucaillou,96 
70,2018 Chateau Leoville Poyferre,95 
71,2018 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 
72,2018 Chateau La Mission Haut-Brion,96 
73,2018 Chateau Angelus,96 
74,2018 Chateau Leoville Barton,95 
75,2018 Chateau Figeac,97 
76,2018 Chateau Talbot,93 
77,2018 Chateau Smith Haut Lafitte,95 
78,2018 Chateau Calon-Segur,95 
79,2018 Chateau Pape Clement,94 
80,2018 Chateau Ausone,97 
81,2018 Vieux Chateau Certan,97 
82,2018 Chateau Canon,96 
83,2018 Chateau Gruaud-Larose,93 
84,2018 Chateau Branaire-Ducru,93 
85,2018 Chateau Rauzan-Segla,95 
86,2018 Chateau Giscours,93 
87,2018 Chateau Beychevelle,94 
88,2018 Chateau Grand-Puy-Lacoste,93 
89,2018 Chateau Duhart-Milon,93 
90,2018 Chateau Troplong Mondot,94 
91,2018 Chateau La Fleur-Petrus,94 
92,2018 Domaine de Chevalier,94 
93,2018 Chateau La Conseillante,95 
94,2018 Chateau Lagrange,93 
95,2018 Baron Philippe de Rothschild Chateau d'Armailhac,92 
96,2018 Chateau Brane-Cantenac,94 
97,2018 Chateau Cantemerle,90 
98,2018 Chateau Clinet,94 
99,2018 Chateau Haut-Bailly,95 
100,2018 Chateau Trotanoy,96 
101,2018 Pavillon Rouge du Chateau Margaux,93 
102,2018 Chateau Clerc-Milon,94 
103,2018 Chateau d'Issan,93 
104,2018 Chateau Sociando-Mallet,91 
105,2018 Chateau Gloria,92 
106,2018 Chateau Phelan Segur,92 
107,2018 Chateau Gazin Pomerol,94 
108,2018 Chateau Canon la Gaffeliere,94 
109,2018 Chateau Les Carmes Haut-Brion,96 
110,2018 Chateau Lafon-Rochet,92 
111,2019 Chateau Mouton Rothschild,98 
112,2019 Chateau Haut-Brion,97 
113,2019 Chateau Lynch-Bages,95 
114,2019 Chateau Pichon Longueville Comtesse de Lalande,97 
115,2019 Chateau Montrose,96 
116,2019 Chateau Pichon-Longueville au Baron de Pichon-Longueville,96 
117,2019 Chateau Talbot,93 
118,2019 Chateau Branaire-Ducru,93 
119,2019 Chateau Rauzan-Segla,95 
120,2019 Chateau Grand-Puy-Lacoste,94 
121,2019 Chateau Lagrange,93 
122,2019 Chateau Cantemerle,90 
123,2019 Chateau Haut-Bailly,95 
