Name,Rating,Region,Year
1950 Chateau Lafite Rothschild,91 ,"Pauillac, France",1950
1950 Chateau Ducru-Beaucaillou,0,"Saint-Julien, France",1950
Chateau Mouton Rothschild,96 ,"Pauillac, France",1950
Chateau Lafite Rothschild,95 ,"Pauillac, France",1950
Petrus,96 ,"Pomerol, France",1950
Chateau Margaux,96 ,"Margaux, France",1950
Chateau Latour,96 ,"Pauillac, France",1950
Chateau Haut-Brion,96 ,"Pessac-Leognan, France",1950
Chateau d'Yquem,96 ,"Sauternes, France",1950
Chateau Pontet-Canet,95 ,"Pauillac, France",1950
Chateau Lynch-Bages,93 ,"Pauillac, France",1950
Chateau Cheval Blanc,95 ,"Saint-Emilion Grand Cru, France",1950
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1950
Chateau Mouton Rothschild,96 ,"Pauillac, France",1951
Chateau Lafite Rothschild,95 ,"Pauillac, France",1951
Chateau Latour,96 ,"Pauillac, France",1951
Chateau Pontet-Canet,95 ,"Pauillac, France",1951
Chateau Lynch-Bages,93 ,"Pauillac, France",1951
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1951
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1951
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1951
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1951
Chateau Duhart-Milon,91 ,"Pauillac, France",1951
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1951
Chateau Mouton Rothschild,96 ,"Pauillac, France",1952
Chateau Lafite Rothschild,95 ,"Pauillac, France",1952
Chateau Latour,96 ,"Pauillac, France",1952
Chateau Pontet-Canet,95 ,"Pauillac, France",1952
Chateau Lynch-Bages,93 ,"Pauillac, France",1952
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1952
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1952
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1952
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1952
Chateau Duhart-Milon,91 ,"Pauillac, France",1952
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1952
1953 Chateau Mouton Rothschild,93 ,"Pauillac, France",1953
1953 Chateau Lafite Rothschild,97 ,"Pauillac, France",1953
1953 Chateau Latour,90 ,"Pauillac, France",1953
1953 Chateau Pichon Longueville Comtesse de Lalande,92 ,"Pauillac, France",1953
1953 Chateau Pichon-Longueville au Baron de Pichon-Longueville,92 ,"Pauillac, France",1953
1953 Baron Philippe de Rothschild Chateau d'Armailhac,0,"Pauillac, France",1953
1953 Baron Philippe de Rothschild La Bergerie 'Mouton Cadet',0,"Pauillac, France",1953
Chateau Mouton Rothschild,96 ,"Pauillac, France",1953
Chateau Lafite Rothschild,95 ,"Pauillac, France",1953
Chateau Latour,96 ,"Pauillac, France",1953
Chateau Pontet-Canet,95 ,"Pauillac, France",1953
Chateau Lynch-Bages,93 ,"Pauillac, France",1953
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1953
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1953
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1953
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1953
Chateau Duhart-Milon,91 ,"Pauillac, France",1953
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1953
Chateau Mouton Rothschild,96 ,"Pauillac, France",1954
Chateau Lafite Rothschild,95 ,"Pauillac, France",1954
Chateau Latour,96 ,"Pauillac, France",1954
Chateau Pontet-Canet,95 ,"Pauillac, France",1954
Chateau Lynch-Bages,93 ,"Pauillac, France",1954
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1954
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1954
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1954
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1954
Chateau Duhart-Milon,91 ,"Pauillac, France",1954
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1954
1955 Chateau Mouton Rothschild,96 ,"Pauillac, France",1955
1955 Chateau Lafite Rothschild,93 ,"Pauillac, France",1955
1955 Chateau Pichon Longueville Comtesse de Lalande,88 ,"Pauillac, France",1955
1955 Chateau Duhart-Milon,0,"Pauillac, France",1955
1955 Chateau Grand-Puy Ducasse,0,"Pauillac, France",1955
Chateau Mouton Rothschild,96 ,"Pauillac, France",1955
Chateau Lafite Rothschild,95 ,"Pauillac, France",1955
Chateau Latour,96 ,"Pauillac, France",1955
Chateau Pontet-Canet,95 ,"Pauillac, France",1955
Chateau Lynch-Bages,93 ,"Pauillac, France",1955
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1955
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1955
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1955
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1955
Chateau Duhart-Milon,91 ,"Pauillac, France",1955
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1955
Chateau Mouton Rothschild,96 ,"Pauillac, France",1956
Chateau Lafite Rothschild,95 ,"Pauillac, France",1956
Chateau Latour,96 ,"Pauillac, France",1956
Chateau Pontet-Canet,95 ,"Pauillac, France",1956
Chateau Lynch-Bages,93 ,"Pauillac, France",1956
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1956
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1956
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1956
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1956
Chateau Duhart-Milon,91 ,"Pauillac, France",1956
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1956
1957 Chateau Pedesclaux,0,"Pauillac, France",1957
Chateau Mouton Rothschild,96 ,"Pauillac, France",1957
Chateau Lafite Rothschild,95 ,"Pauillac, France",1957
Chateau Latour,96 ,"Pauillac, France",1957
Chateau Pontet-Canet,95 ,"Pauillac, France",1957
Chateau Lynch-Bages,93 ,"Pauillac, France",1957
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1957
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1957
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1957
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1957
Chateau Duhart-Milon,91 ,"Pauillac, France",1957
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1957
Chateau Mouton Rothschild,96 ,"Pauillac, France",1958
Chateau Lafite Rothschild,95 ,"Pauillac, France",1958
Chateau Latour,96 ,"Pauillac, France",1958
Chateau Pontet-Canet,95 ,"Pauillac, France",1958
Chateau Lynch-Bages,93 ,"Pauillac, France",1958
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1958
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1958
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1958
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1958
Chateau Duhart-Milon,91 ,"Pauillac, France",1958
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1958
Chateau Mouton Rothschild,96 ,"Pauillac, France",1959
Chateau Lafite Rothschild,95 ,"Pauillac, France",1959
Chateau Latour,96 ,"Pauillac, France",1959
Chateau Pontet-Canet,95 ,"Pauillac, France",1959
Chateau Lynch-Bages,93 ,"Pauillac, France",1959
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1959
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1959
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1959
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1959
Chateau Duhart-Milon,91 ,"Pauillac, France",1959
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1959
1960 Chateau Lafite Rothschild,85 ,"Pauillac, France",1960
Chateau Mouton Rothschild,96 ,"Pauillac, France",1960
Chateau Lafite Rothschild,95 ,"Pauillac, France",1960
Chateau Latour,96 ,"Pauillac, France",1960
Chateau Pontet-Canet,95 ,"Pauillac, France",1960
Chateau Lynch-Bages,93 ,"Pauillac, France",1960
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1960
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1960
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1960
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1960
Chateau Duhart-Milon,91 ,"Pauillac, France",1960
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1960
1961 Chateau Lafite Rothschild,93 ,"Pauillac, France",1961
1961 Baron Philippe de Rothschild Chateau d'Armailhac,90 ,"Pauillac, France",1961
Chateau Mouton Rothschild,96 ,"Pauillac, France",1961
Chateau Lafite Rothschild,95 ,"Pauillac, France",1961
Chateau Latour,96 ,"Pauillac, France",1961
Chateau Pontet-Canet,95 ,"Pauillac, France",1961
Chateau Lynch-Bages,93 ,"Pauillac, France",1961
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1961
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1961
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1961
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1961
Chateau Duhart-Milon,91 ,"Pauillac, France",1961
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1961
Chateau Mouton Rothschild,96 ,"Pauillac, France",1962
Chateau Lafite Rothschild,95 ,"Pauillac, France",1962
Chateau Latour,96 ,"Pauillac, France",1962
Chateau Pontet-Canet,95 ,"Pauillac, France",1962
Chateau Lynch-Bages,93 ,"Pauillac, France",1962
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1962
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1962
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1962
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1962
Chateau Duhart-Milon,91 ,"Pauillac, France",1962
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1962
1963 Chateau Mouton Rothschild,68 ,"Pauillac, France",1963
1963 Chateau Lafite Rothschild,0,"Pauillac, France",1963
1963 Chateau Latour,92 ,"Pauillac, France",1963
1963 Chateau Haut-Batailley,0,"Pauillac, France",1963
Chateau Mouton Rothschild,96 ,"Pauillac, France",1963
Chateau Lafite Rothschild,95 ,"Pauillac, France",1963
Chateau Latour,96 ,"Pauillac, France",1963
Chateau Pontet-Canet,95 ,"Pauillac, France",1963
Chateau Lynch-Bages,93 ,"Pauillac, France",1963
Chateau Pichon Longueville Comtesse de Lalande,94 ,"Pauillac, France",1963
Chateau Pichon-Longueville au Baron de Pichon-Longueville,94 ,"Pauillac, France",1963
Chateau Grand-Puy-Lacoste,92 ,"Pauillac, France",1963
Chateau Lafite Rothschild 'Carruades de Lafite',91 ,"Pauillac, France",1963
Chateau Duhart-Milon,91 ,"Pauillac, France",1963
Baron Philippe de Rothschild Chateau d'Armailhac,91 ,"Pauillac, France",1963
1964 Chateau Mouton Rothschild,87 ,"Pauillac, France",1964
1964 Chateau Lafite Rothschild,90 ,"Pauillac, France",1964
1964 Chateau Pontet-Canet,88 ,"Pauillac, France",1964
1964 Chateau Pichon Longueville Comtesse de Lalande,88 ,"Pauillac, France",1964
1964 Chateau Grand-Puy-Lacoste,89 ,"Pauillac, France",1964
1964 Chateau Croizet-Bages,75 ,"Pauillac, France",1964
Chateau Mouton Rothschild,96 ,"Pauillac, France",1964
Chateau Lafite Rothschild,95 ,"Pauillac, France",1964
Chateau Latour,96 ,"Pauillac, France",1964
Chateau Pontet-Canet,95 ,"Pauillac, France",1964
Chateau Lynch-Bages,93 ,"Pauillac, France",1964
