Wines,Points
2000 Chateau Mouton Rothschild,94
2000 Chateau Lafite Rothschild,96
2000 Petrus,97
2000 Chateau Margaux,97
2000 Chateau Latour,96
2000 Chateau Haut-Brion,96
2000 Chateau Pontet-Canet,92
2000 Chateau Lynch-Bages,93
2000 Chateau Pichon Longueville Comtesse de Lalande,93
2000 Chateau Cos d'Estournel,93
2000 Chateau Leoville-Las Cases 'Grand Vin de Leoville',95
2000 Chateau Montrose,94
2000 Chateau Ducru-Beaucaillou,93
2000 Chateau Leoville Poyferre,92
2000 Chateau Pichon-Longueville au Baron de Pichon-Longueville,94
2000 Chateau La Mission Haut-Brion,95
2000 Chateau Leoville Barton,94
2000 Chateau Calon-Segur,91
2000 Chateau Lascombes,89
2000 Chateau Ausone,97
2000 Vieux Chateau Certan,94
2000 Chateau Gruaud-Larose,92
2000 Chateau Branaire-Ducru,91
2000 Chateau Rauzan-Segla,91
2000 Chateau Giscours,91
2000 Chateau Grand-Puy-Lacoste,92
2000 Chateau Troplong Mondot,92
2000 Domaine de Chevalier,92
2000 Baron Philippe de Rothschild Chateau d'Armailhac,89
2000 Chateau Latour 'Les Forts de Latour',92
2000 Chateau Brane-Cantenac,91
2000 Chateau Cantemerle,89
2000 Pavillon Rouge du Chateau Margaux,91
2000 Chateau Clerc-Milon,90
2000 Chateau Rieussec,91
2000 Chateau Batailley Grand Cru,89
2000 Chateau Pavie Macquin,92
2000 Chateau Suduiraut,91
2000 Chateau Malescot-St-Exupery,91
2000 Chateau Sociando-Mallet,90
2000 Chateau Gloria,90
2000 Chateau Gazin Pomerol,90
2000 Chateau La Lagune,88
2000 Chateau Prieure-Lichine,90
2000 Chateau L'Eglise-Clinet,96
2000 Chateau Chasse-Spleen,89
2000 Chateau Cantenac Brown,89
2000 Chateau Leoville-Las Cases 'Clos du Marquis',91
2000 Chateau Climens,91
2000 Chateau Langoa-Barton,90
Chateau Mouton Rothschild,96
Chateau Lafite Rothschild,95
Petrus,96
Chateau Margaux,96
Chateau Latour,96
Chateau Haut-Brion,96
Chateau d'Yquem,96
Chateau Pontet-Canet,94
Chateau Lynch-Bages,93
Chateau Cheval Blanc,95
Chateau Pichon Longueville Comtesse de Lalande,94
2001 Chateau Mouton Rothschild,92
2001 Chateau Lafite Rothschild,94
2001 Petrus,95
2001 Chateau Margaux,94
2001 Chateau Latour,94
2001 Chateau Haut-Brion,94
2001 Chateau d'Yquem,98
2001 Chateau Pontet-Canet,90
2001 Chateau Lynch-Bages,90
