Wines,Points,Year
F E Trimbach Riesling Clos Sainte Hune,94 ,2011 
Weingut Keller G-Max Riesling Trocken,95 ,2011 
Weingut Keller Westhofener Brunnenhauschen Abts Erde Riesling Grosses Gewachs,94 ,2011 
Egon Muller Scharzhofberger Riesling Spatlese,92 ,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,92 ,2011 
Weingut Keller Dalsheimer Hubacker Riesling Grosses Gewachs,92 ,2011 
Egon Muller Scharzhofberger Riesling Auslese,93 ,2011 
F E Trimbach Riesling Cuvee Frederic Emile,92 ,2011 
Weingut Keller Westhofener Kirchspiel Riesling Grosses Gewachs,92 ,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese Goldkapsel,93 ,2011 
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Spatlese,92 ,2011 
Georg Breuer Rudesheimer Berg Schlossberg Riesling,92 ,2011 
Domaine Zind-Humbrecht Riesling Rangen de Thann Clos Saint Urbain,94 ,2011 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Spatlese,92 ,2011 
Weingut Donnhoff Niederhauser Hermannshohle Riesling Auslese Goldkapsel,94 ,2011 
Weingut Keller Westhofener Morstein Riesling Grosses Gewachs,93 ,2011 
Pewsey Vale Dry Riesling,90 ,2011 
Markus Molitor Wehlener Sonnenuhr Riesling Auslese,97 ,2011 
Domaine Weinbach Riesling Schlossberg,92 ,2011 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese Goldkapsel,92 ,2011 
Joh. Jos. Prum Graacher Himmelreich Riesling Spatlese,91 ,2011 
Joh. Jos. Prum Graacher Himmelreich Riesling Auslese,92 ,2011 
Weingut Donnhoff Oberhauser Brucke Riesling Eiswein,95 ,2011 
Schloss Vollrads Riesling,89 ,2011 
Chateau Ste. Michelle & Dr. Loosen 'Eroica' Riesling,89 ,2011 
Weingut Brundlmayer Zobinger Heiligenstein Alte Reben Reserve Riesling,93 ,2011 
