Name;Rating;Region;Year;0tavg;1tmin;2tmax;3prcp;4tavg;5tmin;6tmax;7prcp;8tavg;9tmin;10tmax;11prcp;12tavg;13tmin;14tmax;15prcp;16tavg;17tmin;18tmax;19prcp;20tavg;21tmin;22tmax;23prcp;Predictions
 Chateau Lafite Rothschild;91;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;91.68
Chateau Mouton Rothschild;96;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;96.0
Chateau Lafite Rothschild;95;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;95.0
Petrus;96;Pomerol  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;95.64
Chateau Margaux;96;Margaux  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;96.0
Chateau Latour;96;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;96.0
Chateau Haut-Brion;96;Pessac-Leognan  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;94.6
Chateau d'Yquem;96;Sauternes  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;95.52
Chateau Pontet-Canet;95;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;95.08
Chateau Lynch-Bages;93;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;93.0
Chateau Cheval Blanc;95;Saint-Emilion Grand Cru  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;93.06
Chateau Pichon Longueville Comtesse de Lalande;94;Pauillac  France;1950;10.2;5.4;15.02.2022;70.0;15.3;10.3;21.2;60.0;20.7;14.4;27.0;30.0;21.2;15.3;27.6;20.0;19.3;13.7;25.8;90.0;15.09.2022;10.7;21.7;50.0;94.0
Chateau Mouton Rothschild;96;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;96.0
Chateau Lafite Rothschild;95;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;95.0
Chateau Latour;96;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;96.0
Chateau Pontet-Canet;95;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;95.02
Chateau Lynch-Bages;93;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;93.0
Chateau Pichon Longueville Comtesse de Lalande;94;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;94.0
Chateau Pichon-Longueville au Baron de Pichon-Longueville;94;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;94.0
Chateau Grand-Puy-Lacoste;92;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;92.0
Chateau Lafite Rothschild 'Carruades de Lafite';91;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;91.0
Chateau Duhart-Milon;91;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;91.0
Baron Philippe de Rothschild Chateau d'Armailhac;91;Pauillac  France;1951;11.1;6.3;15.09.2022;40.0;12.8;8.2;17.8;90.0;17.1;12.6;22.0;90.0;20.2;14.0;26.1;70.0;17.6;12.7;22.9;100.0;17.07.2022;12.9;23.5;80.0;91.0
Chateau Mouton Rothschild;96;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;96.0
Chateau Lafite Rothschild;95;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;95.0
Chateau Latour;96;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;96.0
Chateau Pontet-Canet;95;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;95.0
Chateau Lynch-Bages;93;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;93.0
Chateau Pichon Longueville Comtesse de Lalande;94;Pauillac  France;1952;12.5;7.3;18.02.2022;30.0;16.3;10.8;22.1;40.0;19.6;13.4;25.9;50.0;19.8;13.8;25.9;30.0;20.2;15.1;26.0;50.0;14.03.2022;10.4;18.7;110.0;94.0
