Wines,Points,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Chateau Ste. Michelle Riesling,85,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
F.X. Pichler Durnsteiner Kellerberg Riesling Smaragd,92,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Familie Saahs Nikolaihof Vinothek Riesling,92,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Selbach-Oster Zeltinger Sonnenuhr Riesling Auslese,90,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Familie Saahs Nikolaihof Riesling vom Stein Smaragd,90,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Chateau Ste. Michelle & Dr. Loosen Eroica Single Berry Select Riesling,97,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Hugel & Fils Riesling Jubilee,89,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
F E Trimbach Riesling Cuvee Frederic Emile Selection de Grains Nobles,94,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Maximin Grunhauser Abtsberg Riesling Eiswein,91,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Weingut Nigl Ried Hochacker Riesling,93,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
J.B. Becker Wallufer Berg Bildstock Riesling Spatlese,91,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Kuentz-Bas Riesling Pfersigberg Trois Chateaux,89,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Weinguter Wegeler Geisenheimer Rothenberg Riesling Auslese,90,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Vinarte 'Sirena Dunarii' Riesling Dulce,85,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Deinhard Riesling Beerenauslese,85,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Peter Jakob Kuhn Riesling Beerenauslese,92,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
Weingut S.A. Prum Wehlener Sonnenuhr Riesling Beerenauslese,88,2000,8.8,4.6,13.3,25.8,13.4,9.5,17.7,63.6,15.9,11.2,20.6,29.9,13.5,10.6,17.6,174.3,17.3,13.0,21.8,31.8,13.4,10.6,17.0,43.6
F E Trimbach Riesling Clos Sainte Hune,94,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Joh. Jos. Prum Wehlener Sonnenuhr Riesling Auslese,95,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
F E Trimbach Riesling Cuvee Frederic Emile,92,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese,94,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
Fritz Haag Brauneberger Juffer Sonnenuhr Riesling Auslese Goldkapsel,94,2001,5.9,2.4,9.8,59.4,13.6,9.1,18.3,7.8,13.4,9.0,18.3,40.7,17.4,13.1,22.1,51.5,17.8,13.5,22.4,36.3,10.3,7.6,13.5,59.8
